大会名,公式サイトURL,開催日,開催地,都道府県
第23回 中山連山・北摂大峰山TRAINIC STAGE,https://www.jls-association.com/%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88/%E3%83%88%E3%83%AC%E3%82%A4%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%8B%E3%83%B3%E3%82%B0/%E4%B8%AD%E5%B1%B1%E9%80%A3%E5%B1%B1-%E5%8C%97%E6%91%82%E5%A4%A7%E5%B3%B0%E5%B1%B1-trainic-stage/,2026.4.5(日),兵庫県宝塚市,兵庫県
2026芦屋さくらファンラン,https://www.sanspo-marathon.com/entry/3412/,2026.4.12(日),兵庫県芦屋市,兵庫県
ア・モ～レ明石！大蔵海岸リレーマラソン2026,https://info663681.wixsite.com/ookurakaigan-run,2026.4.12(日),兵庫県明石市,兵庫県
第74回 兵庫リレーカーニバル,https://hyogorc-timetrial.net/,2026.4.18(土),兵庫県神戸市,兵庫県
第19回宍粟市さつきマラソン大会,https://www.shiso-sports.jp/,2026.4.19(日),兵庫県宍粟市,兵庫県
第30回赤穂ウルトラマラソン大会,https://htj.gr.jp/summary/ako_ultra,2026.4.19(日),兵庫県赤穂市,兵庫県
兵庫波賀トレイル DOUBLE ATTACK 春,https://runninghigh.jp/haga_ex/,2026.4.29(水),兵庫県宍粟市波賀町,兵庫県
第34回武庫川ユリカモメウルトラ70kmマラソン,https://mukogawa-sc.lolipop.jp/index_qhm.php?%E3%82%A6%E3%83%AB%E3%83%88%E3%83%A970Km%E5%A4%A7%E4%BC%9A%E8%A6%81%E9%A0%85,2026.5.3(日),兵庫県西宮市,兵庫県
第39回麒麟獅子マラソン大会,https://xn--3ck5c7a3b1589amb4a8l4d8ca.jp/,2026.5.24(日),兵庫県新温泉町,兵庫県
第15回 三木総合防災公園クロスカントリー大会,https://htj.gr.jp/summary/miki_crosscountry,2026.5.24(日),兵庫県三木市,兵庫県
第10回いながわ里山猪道（ししみち）トレイルラン,https://inagawa-trail.jimdofree.com/,2026.5.24(日),兵庫県猪名川町,兵庫県
TAMBA100アドベンチャートレイル2026,https://trailrun-tamba.com/,2026.5.29(金),兵庫県丹波市,兵庫県
第13回 LOVE 島ラン！淡路島たまねぎリレーマラソン2026 inサンライズ淡路,https://info663681.wixsite.com/love-sima,2026.5.31(日),兵庫県南あわじ市,兵庫県
第39回たたらぎダム湖マラソン大会,http://www.e-marathon.jp/tataragi/,2026.6.7(日),兵庫県朝来市,兵庫県
第16回 トレイルランニングin山の里,https://runninghigh.jp/yamanosato/,2026.6.7(日),兵庫県上郡町,兵庫県
第32回みかた残酷マラソン全国大会,https://mikatazankoku.com/,2026.6.14(日),兵庫県香美町,兵庫県
第11回Mt.六甲トレイルランサマーピクニック,https://www.actrep-sports.com/mt-rokko-picnic/,2026.8.11(火),兵庫県神戸市,兵庫県
